frame_id,timestamp,tracking_cost,valid_projected_points,residual_mean,residual_median,residual_p95,inlier_ratio,relative_translation_m,relative_rotation_deg,tracking_failure,fallback_used,fallback_reason,keyframe_inserted,active_window_keyframes,active_inverse_depth_points
11,1.140497,301342.248257421,1068,21.897869375265866,10.994704096676521,94.19730151455454,0.7546816479400749,1.645709350113568,0.3924561481381543,False,False,,False,4,2400
12,1.244242,384274.41067819035,944,28.966073249754974,16.160023618096673,100.7622553056736,0.6461864406779662,2.4750559533241634,0.5774386803602872,False,False,,True,5,3000
13,1.347979,191814.03826380553,1268,16.930368675646488,6.735680334621819,75.31671205994776,0.8264984227129337,0.8374608173632859,0.21459264868643702,False,False,,False,5,3000
14,1.451596,304244.3792939584,1054,22.470383350000198,10.576784530954239,89.08043336479956,0.7438330170777988,1.6868229967669877,0.31561938896259545,False,False,,False,5,3000
15,1.555212,390346.25411015097,854,26.6427344770194,13.648214947308503,98.8572613137215,0.6756440281030445,2.5425412254516457,0.4077916395539434,False,False,,True,5,3000
16,1.65896,149734.17761544246,1262,10.633646595928143,5.811827143352115,37.04092734626522,0.9001584786053882,0.8643319892831453,0.22715148496986645,False,False,,False,5,3000
17,1.762569,256463.3697993875,1097,15.882485761675401,8.622103702241475,58.28482483087317,0.8094804010938924,1.734827958783839,0.3847833942485569,False,False,,False,5,3000
18,1.866302,349594.670850191,961,23.289705423846918,13.41640218645523,83.42037995232916,0.6930280957336108,2.6287336448779888,0.6785828523697977,False,False,,True,5,3000
19,1.969923,184348.71232485079,1288,14.792111714067754,7.103996226484217,53.728620308320416,0.8136645962732919,0.8954621831436419,0.1030801813058466,False,False,,False,5,3000
20,2.073666,327816.37799767614,1038,22.558246155636887,12.94306951030665,75.82382261152796,0.6946050096339114,1.8037922538521771,0.2356771112684916,False,False,,True,5,3000
21,2.177281,225351.43840597832,1209,16.503536021484585,8.132499970005995,64.86485145304938,0.8246484698097601,0.9111870410994015,0.1436368955716186,False,False,,False,5,3000
22,2.281017,334224.62685866666,1045,25.150084741788344,13.016845210253422,100.65034129930466,0.69377990430622,1.822908559473783,0.20333419260315164,False,False,,True,5,3000
23,2.384639,237429.98617569846,1193,16.964221323072195,7.379618212067157,64.85132388938626,0.787929589270746,0.909522476426616,0.12840084206823618,False,False,,False,5,3000
24,2.48825,352459.83440115955,1014,25.183047389769477,12.993626106986156,91.00351345897631,0.6646942800788954,1.814739496050979,0.24218797579010096,False,False,,True,5,3000
25,2.591988,217198.40352811283,1252,17.27753981048227,6.358300720971124,69.6973515518197,0.7915335463258786,0.9277685335538445,0.10727950279338053,False,False,,False,5,3000
26,2.695832,335288.2282746356,1051,26.94874067407569,12.038339236938725,111.68701094097898,0.6955280685061845,1.855094384030041,0.3104565965338101,False,False,,True,5,3000
27,2.799367,204688.64114831248,1246,15.467096037997118,5.369389401315072,61.44898555160932,0.8073836276083467,0.9393174189822827,0.23282965782359835,False,False,,False,5,3000
28,2.903084,326051.5268014306,992,20.641575279888674,9.184990892813914,83.59557968299859,0.75,1.8896300030039022,0.4200768846645179,False,False,,True,5,3000
29,3.006768,185418.71714861115,1274,14.370429455843968,6.032134180607187,53.33531328233044,0.8335949764521193,0.9402312589690403,0.09767587634520875,False,False,,False,5,3000
30,3.110441,316534.27374934766,1052,21.705577061304357,9.9320071276857,80.7340480305857,0.7271863117870723,1.8845854229479841,0.2102753728450862,False,False,,False,5,3000
31,3.214057,402203.9350282925,868,27.64458338652052,12.935311668123106,98.52408097962797,0.6474654377880185,2.8282652183480583,0.49645679239940377,False,False,,True,5,3000
32,3.317669,202710.9248721542,1231,14.559874078489067,6.23762018214434,60.939726538296554,0.818034118602762,0.9506228292344763,0.1931977777173796,False,False,,False,5,3000
33,3.421285,318746.17280178296,1044,22.306042500507974,10.136255684438446,90.37961759022124,0.7432950191570882,1.9134017346316696,0.2287306748599861,False,False,,False,5,3000
34,3.524925,398724.41137968784,886,28.167202944053535,15.253159495172337,104.12270178550463,0.6512415349887133,2.8913025623424597,0.3640809346360198,False,False,,True,5,3000
35,3.628545,215382.095425932,1236,16.452395960898496,7.224876516300288,67.37798142784331,0.8131067961165048,0.9804425838474409,0.3158845746686224,False,False,,False,5,3000
36,3.732256,349536.4409958632,1011,25.634260645405334,12.94046804806922,95.06396558320994,0.6874381800197824,1.9580089373212288,0.7021062970797746,False,False,,False,5,3000
37,3.835871,464487.6052963542,861,41.19103674870443,26.20941862564098,127.99369300141151,0.4878048780487805,2.7314943741592352,1.1109418538111324,False,False,,True,5,3000
