frame_id,timestamp,tracking_cost,valid_projected_points,residual_mean,residual_median,residual_p95,inlier_ratio,relative_translation_m,relative_rotation_deg,tracking_failure,fallback_used,fallback_reason,keyframe_inserted,active_window_keyframes,active_inverse_depth_points
21,2.177281,125970.66276155775,693,18.80778143488269,9.416709111775532,69.48917892790689,0.7691197691197691,0.9061060336465763,0.1360096625842121,False,False,,False,5,3000
22,2.281017,197460.4739612826,572,28.822111939144328,16.005177280695904,111.26409416058628,0.6503496503496503,1.8228619729795505,0.20660680510659055,False,False,,True,5,3000
23,2.384639,140539.38071474232,668,20.207012135133883,9.259202317576339,71.69778170846173,0.7425149700598802,0.909526277494711,0.1275668762349548,False,False,,False,5,3000
24,2.48825,211249.5255204609,549,31.518242581779564,16.50010274419364,108.14246951099803,0.5938069216757741,1.815688495059784,0.2631611954606929,False,False,,True,5,3000
25,2.591988,113699.70622095105,725,19.583998602182028,7.8257236304955775,84.64378578193431,0.7779310344827586,0.9344529448872673,0.11814198542382454,False,False,,False,5,3000
26,2.695832,187694.7791147463,600,29.12105892950764,15.80695490656301,116.04797330436116,0.6216666666666667,1.849458561099323,0.3007746193461403,False,False,,True,5,3000
27,2.799367,120109.24382057291,701,18.6229823916115,7.1395085989422,74.00239966392613,0.7646219686162625,0.9358521215409535,0.23269568019149994,False,False,,False,5,3000
28,2.903084,190768.0853952419,561,26.528761419409044,12.736032514772859,107.2444252461441,0.679144385026738,1.8927171249564223,0.4204243506069111,False,False,,True,5,3000
29,3.006768,109613.41962299607,710,17.36862830930236,7.675967652146213,75.2641832509906,0.8014084507042254,0.940103878877196,0.10612497223823789,False,False,,False,5,3000
30,3.110441,191014.2048868241,564,26.89963420855405,12.877287279753386,103.66668221590756,0.6897163120567376,1.8849613242660166,0.2222458983914488,False,False,,False,5,3000
31,3.214057,253260.06954901788,483,41.37646866912072,28.040844467781255,130.36456460505244,0.46790890269151136,2.7867159345025567,0.5676644395315721,False,False,,True,5,3000
32,3.317669,109833.5429320793,706,16.68735282415537,6.394169122561994,70.54882630479418,0.8002832861189801,0.950314273675882,0.19230473340518375,False,False,,False,5,3000
33,3.421285,195995.34783410185,547,26.260020962929666,11.46481819764459,97.59567321681288,0.6782449725776966,1.9218728695487861,0.22578457029404733,False,False,,False,5,3000
34,3.524925,228639.9318303933,478,32.247022851721454,15.905441492910846,110.27636641793386,0.6234309623430963,2.8722519442769867,0.3617238203891462,False,False,,True,5,3000
35,3.628545,132469.1964238343,692,21.04503801175074,9.02437525517351,82.25765775019538,0.7557803468208093,0.9845749997036789,0.31649512656473355,False,False,,False,5,3000
36,3.732256,202944.37817056716,563,30.737694439965463,14.72713905486873,108.38742718832506,0.6376554174067496,1.9740978987599385,0.714512157110055,False,False,,False,5,3000
37,3.835871,244360.56470073527,448,34.36297459671043,18.641831816959858,111.49583870976136,0.5803571428571429,2.9325842339176664,0.7377226850355731,False,False,,True,5,3000
38,3.939488,134754.26949660125,635,16.120943135120708,8.954956083492078,52.93632284436635,0.8047244094488188,0.9697083606261612,0.24747061405884876,False,False,,False,5,3000
